Club,2018_Value,2014_Value,2010_Value,2006_Value,2002_Value
France,1007,421.38495,403.074,374.455746,343.563147
Germany,997.5,575.1508,337.8144,313.8295776,287.9386374
Spain,992,636.5548,712.92,662.30268,607.6627089
Brazil,904,478.4395,387.28008,359.7831943,330.1010808
Argentina,884,400.6611,425.88744,395.6494318,363.0083536
Belgium,702.75,356.1432,332.2816056,308.6896116,283.2227186
England,686,341.8156,593.9172,551.7490788,506.2297798
Portugal,614.7,304.20565,320.37528,297.6286351,273.0742727
Croatia,389.8,197.77205,184.5213227,171.4203087,157.2781333
Uruguay,371.45,222.722542,150.48096,139.7968118,128.2635749
Colombia,307.25,194.65068,181.6090844,168.7148394,154.7958652
Senegal,306.9,299.8827438,279.7906,259.9254674,238.4816163
Denmark,289.85,198.9424,108.0348,100.3643292,92.08427204
Poland,282.6,276.1383623,257.637092,239.3448585,219.5989077
Switzerland,263,182.1652,113.2446,105.2042334,96.52488414
Serbia,255.95,232.69198,209.43396,194.5641488,178.5126066
Mexico,164.4,98.80927,97.67004,90.73546716,83.24979112
Russia,149.53,188.10092,175.4981584,163.0377891,149.5871715
Morocco,146.38,143.0330272,133.4498143,123.9748775,113.7469501
Nigeria,129.25,88.88229,145.65504,135.3135322,124.1501658
Egypt,127.08,124.1743209,115.8546414,107.6289619,98.7495725
Sweden,116.45,113.7873754,106.1636213,98.62600415,90.48935881
Korea Republic,77.25,53.145162,57.25296,53.18799984,48.79998985
Iceland,68,66.44518272,61.99335548,57.59182724,52.8405015
Tunisia,55.13,53.86945476,50.26020129,46.691727,42.83965952
Japan,53.75,100.2932,80.0664,74.3816856,68.24519654
Iran,50.9,24.66394,23.01145602,21.37764264,19.61398712
Australia,48.1,21.84959,83.54874,77.61677946,71.21339515
Costa Rica,44.58,30.323342,28.29167809,26.28296894,24.114624
Peru,38.1,37.22884503,34.73451241,32.26836203,29.60622216
Saudi Arabia,22.28,21.77056869,20.31194059,18.86979281,17.3130349
Panama,11.7,11.43247997,10.66650381,9.90918204,9.091674522
Italy,648.5,330.5582,413.4936,384.1355544,352.4443712
Netherlands,407,212.3555,297.28764,276.1802176,253.3953496
Austria,173.15,169.1909322,C36*.933,#VALUE!,#VALUE!
Chile,164.85,142.55962,87.57948,81.36133692,74.64902662
Ivory Coast,157.05,124.54778,218.23578,202.7410396,186.0149039
Wales,153,149.5016611,139.4850498,129.5816113,118.8911284
Turkey,149.65,146.2282587,136.4309654,126.7443669,116.2879566
Bosnia-Herzegovina,143.15,117.63983,109.7579614,101.9651461,93.55302158
Slovenia,137.6,94.76674,51.93348,48.24620292,44.26589118
Slovakia,122.55,109.42452,96.29904,89.46180816,82.08120899
Ukraine,120.4,117.6470588,109.7647059,101.9714118,93.55877029
Czech Republic,92.05,89.94528044,83.91894665,77.96070144,71.52894357
Congo DR,84.45,82.51905413,76.99027751,71.5239678,65.62324046
Montenegro,81.58,79.71467657,74.37379324,69.09325392,63.39306047
Cameroon,76.9,121.22173,166.7136,154.8769344,142.0995873
Ireland,75.03,73.31444206,68.40237444,63.54580585,58.30327687
Albania,66.48,64.95993746,60.60762165,56.30448052,51.65936087
Norway,57.4,56.0875513,52.32968536,48.6142777,44.60359979
Ghana,56.2,98.60459,113.18976,105.153287,96.47814086
Scotland,53.1,51.88587063,48.4095173,44.97244157,41.26221514
Paraguay,50.8,49.63846004,88.23756,81.97269324,75.20994605
Armenia,48.85,47.73304671,44.53493258,41.37295236,37.95968379
Mali,47.8,46.70705491,43.57768224,40.4836668,37.14376429
Northern Ireland,45.15,44.11764706,41.16176471,38.23927941,35.08453886
Romania,43.3,42.30994723,39.47518077,36.67244294,33.64696639
Burkina Faso,41.05,40.11139339,37.42393004,34.766831,31.89856745
Ecuador,38,64.32069,60.01120377,55.7504083,51.15099962
Venezuela,36.65,35.81199922,33.41259527,31.04030101,28.47947617
Hungary,36.55,35.71428571,33.32142857,30.95560714,28.40176955
USA,34.93,59.15252,67.67256,62.86780824,57.68121406
Kenya,33.5,32.73402384,30.54084424,28.3724443,26.03171765
Georgia,32.1,31.36603479,29.26451046,27.18673021,24.94382497
Israel,30.18,29.48993551,27.51410983,25.56060803,23.45185787
Greece,29.2,81.76966,110.66712,102.8097545,94.32794974
Togo,27.88,27.24252492,25.41727575,23.61264917,21.66460561
Benin,26.48,25.87453586,24.14094196,22.42693508,20.57671294
Kosovo,25.5,24.91694352,23.24750831,21.59693522,19.81518806
Macedonia,24.9,24.3306625,22.70050811,21.08877203,19.34894834
Finland,24.23,23.67598202,22.08969123,20.52132315,18.82831399
South Africa,22.33,28.93316,35.53632,33.01324128,30.28964887
Gabon,22.3,21.79011139,20.33017393,18.88673158,17.32857623
Cape Verde,21.75,21.25268712,19.82875708,18.42091533,16.90118982
Bulgaria,21.7,21.20383037,19.78317373,18.3785684,16.86233651
Uzbekistan,20.15,19.68927106,18.3700899,17.06581351,15.6578839
Kazakhstan,19.8,19.34727379,18.05100645,16.76938499,15.38591073
Belarus,18.85,18.41899551,17.18492281,15.96479329,14.64769784
Guinea,15.28,14.93062341,13.93027164,12.94122236,11.87357151
Moldova,14.3,13.97303107,13.03683799,12.11122249,11.11204664
Gambia,14.28,13.95348837,13.01860465,12.09428372,11.09650531
Cyprus,13.8,13.48446355,12.58100449,11.68775318,10.72351354
Angola,13.53,13.22063709,12.33485441,11.45907974,10.51370567
Iraq,13.28,12.97635333,12.10693766,11.24734509,10.31943912
Honduras,12.55,21.64491,53.35932,49.57080828,45.4812166
Curacao,12.23,11.95036154,11.14968732,10.35805952,9.503519607
Canada,11.68,11.41293727,10.64827047,9.892243268,9.076133198
Congo,11.43,11.16865351,10.42035372,9.680508609,8.881866648
China,10.78,10.53351573,9.827770178,9.129998495,8.376773619
Algeria,10.6,58.53848,56.70456,52.67853624,48.332557
New Zealand,10.38,12.57969,14.77938,13.73004402,12.59731539
Guinea-Bissau,10.28,10.04494821,9.371936682,8.706529177,7.98824052
United Arab Emirates,10.08,9.849521204,9.189603283,8.53714145,7.83282728
Estonia,10.03,9.800664452,9.144019934,8.494794518,7.793973971
Qatar,9.83,9.605237444,8.961686535,8.325406791,7.638560731
Syria,9.68,9.458667188,8.824936486,8.198365996,7.522000801
Zimbabwe,9.38,9.165526676,8.551436389,7.944284405,7.288880942
Azerbaijan,8.93,8.725815908,8.141186242,7.563162019,6.939201152
Luxembourg,8.53,8.334961892,7.776519445,7.224386564,6.628374673
Lithuania,7.65,7.475083056,6.974252492,6.479080565,5.944556418
Thailand,6.65,6.497948016,6.062585499,5.632141929,5.16749022
Comoros,5.3,5.178815712,4.83183506,4.48877477,4.118450852
Madagascar,5.13,5.012702756,4.676851671,4.344795202,3.986349598
Malta,4.78,4.670705491,4.357768224,4.04836668,3.714376429
Jordan,4.48,4.377564979,4.084268126,3.794285089,3.481256569
Mozambique,4.45,4.348250928,4.056918116,3.76887693,3.457944583
Bolivia,4.23,4.133281219,3.856351378,3.58255043,3.286990019
Latvia,4.15,4.055110416,3.783418018,3.514795339,3.224824724
Chad,4.1,4.006253664,3.737834669,3.472448407,3.185971414
Kuwait,4.1,4.006253664,3.737834669,3.472448407,3.185971414
Haiti,3.88,3.791283955,3.53726793,3.286121907,3.01501685
Libya,3.78,3.693570451,3.446101231,3.201428044,2.93731023
Tanzania,3.78,3.693570451,3.446101231,3.201428044,2.93731023
Zambia,3.65,3.566542896,3.327584522,3.091326021,2.836291624
Palestine,3.6,3.517686144,3.282001173,3.048979089,2.797438314
Central African Republic,3.45,3.371115888,3.145251124,2.921938294,2.680878385
Uganda,3.15,3.077975376,2.871751026,2.667856703,2.447758525
Philippines,3.13,3.058432675,2.853517686,2.65091793,2.432217201
Sudan,3.05,2.980261872,2.780584327,2.58316284,2.370051905
Hong Kong,3.03,2.960719171,2.762350987,2.566224067,2.354510581
Mauritania,2.98,2.911862419,2.716767637,2.523877135,2.315657271
Equatorial Guinea,2.8,2.735978112,2.552667579,2.371428181,2.175785356
El Salvador,2.75,2.68712136,2.507084229,2.329081249,2.136932046
Niger,2.73,2.667578659,2.488850889,2.312142476,2.121390722
Korea DPR,2.68,6.57722,10.47444,9.73075476,8.927967492
Faroe Islands,2.38,2.325581395,2.169767442,2.015713953,1.849417552
Indonesia,2.33,2.276724643,2.124184092,1.973367022,1.810564242
Burma,2.33,2.276724643,2.124184092,1.973367022,1.810564242
Namibia,2.3,2.247410592,2.096834082,1.947958863,1.787252256
Fiji,2.28,2.227867891,2.078600743,1.93102009,1.771710932
Lebanon,2.15,2.100840336,1.960084034,1.820918067,1.670692327
Oman,2.03,1.983584131,1.850683995,1.719285431,1.577444383
Burundi,1.93,1.885870627,1.759517295,1.634591567,1.499737763
Tajikistan,1.9,1.856556576,1.732167286,1.609183408,1.476425777
Singapore,1.75,1.70998632,1.595417237,1.482142613,1.359865847
Guam,1.7,1.661129568,1.549833887,1.439795681,1.321012537
Liechtenstein,1.65,1.612272816,1.504250537,1.397448749,1.282159227
Kyrgyzstan,1.63,1.592730115,1.486017198,1.380509977,1.266617903
Bahrain,1.6,1.563416064,1.458667188,1.355101817,1.243305918
India,1.48,1.446159859,1.349267149,1.253469181,1.150057974
Afghanistan,1.19,1.162790698,1.084883721,1.007856977,0.924708776
Turkmenistan,1.18,1.153019347,1.075767051,0.99938759,0.916938114
Malawi,1.13,1.104162595,1.030183701,0.957040659,0.878084804
Malaysia,1.1,1.074848544,1.002833692,0.9316325,0.854772818
Botswana,1.05,1.025991792,0.957250342,0.889285568,0.815919508
Aruba,1.03,1.006449091,0.939017002,0.872346795,0.800378184
Dominican Republic,1.03,1.006449091,0.939017002,0.872346795,0.800378184
Puerto Rico,1.03,1.006449091,0.939017002,0.872346795,0.800378184
Samoa,1,0.97713504,0.911666992,0.846938636,0.777066198
Liberia,1,0.97713504,0.911666992,0.846938636,0.777066198
Rwanda,0.925,0.903849912,0.843291968,0.783418238,0.718786234
Papua New Guinea,0.875,0.85499316,0.797708618,0.741071306,0.679932924
Nicaragua,0.725,0.708422904,0.660958569,0.614030511,0.563372994
Mauritius,0.725,0.708422904,0.660958569,0.614030511,0.563372994
Trinidad and Tobago,0.725,0.708422904,0.660958569,0.614030511,0.563372994
Solomon Islands,0.725,0.708422904,0.660958569,0.614030511,0.563372994
Guatemala,0.7,0.683994528,0.638166895,0.592857045,0.543946339
Taiwan,0.675,0.659566152,0.61537522,0.571683579,0.524519684
Vanuatu,0.65,0.635137776,0.592583545,0.550510113,0.505093029
Tahiti,0.55,0.537424272,0.501416846,0.46581625,0.427386409
New Caledonia,0.5,0.48856752,0.455833496,0.423469318,0.388533099
Ethiopia,0.45,0.439710768,0.410250147,0.381122386,0.349679789
Sierra Leone,0.45,0.439710768,0.410250147,0.381122386,0.349679789
Antigua and Barbuda,0.45,0.439710768,0.410250147,0.381122386,0.349679789
Montserrat,0.45,0.439710768,0.410250147,0.381122386,0.349679789
Bermuda,0.425,0.415282392,0.387458472,0.35994892,0.330253134
Brunei,0.425,0.415282392,0.387458472,0.35994892,0.330253134
Lesotho,0.375,0.36642564,0.341875122,0.317601988,0.291399824
Belize,0.35,0.341997264,0.319083447,0.296428523,0.271973169
San Marino,0.35,0.341997264,0.319083447,0.296428523,0.271973169
Guyana,0.35,0.341997264,0.319083447,0.296428523,0.271973169
Turks and Caicos Islands,0.325,0.317568888,0.296291773,0.275255057,0.252546514
Gibraltar,0.3,0.293140512,0.273500098,0.254081591,0.23311986
Jamaica,0.3,0.293140512,0.273500098,0.254081591,0.23311986
Andorra,0.275,0.268712136,0.250708423,0.232908125,0.213693205
Yemen,0.275,0.268712136,0.250708423,0.232908125,0.213693205
Somalia,0.25,0.24428376,0.227916748,0.211734659,0.19426655
South Sudan,0.2,0.195427008,0.182333398,0.169387727,0.15541324
Swaziland,0.2,0.195427008,0.182333398,0.169387727,0.15541324
St Lucia,0.175,0.170998632,0.159541724,0.148214261,0.135986585
Macau,0.15,0.146570256,0.136750049,0.127040795,0.11655993
