Country,Matches,Wins,Draws,Losses,GF,GA,Difference,Points
Algeria,13,3,3,7,13,19,Ð6,12
Angola,3,0,2,1,1,2,Ð1,2
Argentina,77,42,14,21,131,84,47,140
Australia,13,2,3,8,11,26,Ð15,9
Austria,29,12,4,13,43,47,Ð4,40
Belgium,41,14,9,18,52,66,Ð14,51
Bolivia,6,0,1,5,1,20,Ð19,1
Bosnia-Herzegovina,3,1,0,2,4,4,0,3
Brazil,104,70,17,17,221,102,119,227
Bulgaria,26,3,8,15,22,53,Ð31,17
Cameroon,23,4,7,12,18,43,Ð25,19
Canada,3,0,0,3,0,5,Ð5,0
Chile,33,11,7,15,40,49,Ð9,40
China,3,0,0,3,0,9,Ð9,0
Colombia,18,7,2,9,26,27,Ð1,23
Costa Rica,15,5,4,6,17,23,Ð6,19
Croatia,16,7,2,7,21,17,4,23
Cuba,3,1,1,1,5,12,Ð7,4
Czech Republic,33,12,5,16,47,49,Ð2,41
Denmark,16,8,2,6,27,24,3,26
Congo DR,3,0,0,3,0,14,Ð14,0
Ecuador,10,4,1,5,10,11,Ð1,13
Egypt,4,0,2,2,3,6,Ð3,2
El Salvador,6,0,0,6,1,22,Ð21,0
England,62,26,20,16,79,56,23,98
France,59,28,12,19,106,71,35,96
Germany,106,66,20,20,224,121,103,218
Ghana,12,4,3,5,13,16,Ð3,15
Greece,10,2,2,6,5,20,Ð15,8
Haiti,3,0,0,3,2,14,Ð12,0
Honduras,9,0,3,6,3,14,Ð11,3
Hungary,32,15,3,14,87,57,30,48
Indonesia,1,0,0,1,0,6,Ð6,0
Iran,12,1,3,8,7,22,Ð15,6
Iraq,3,0,0,3,1,4,Ð3,0
Israel,3,0,2,1,1,3,Ð2,2
Italy,83,45,21,17,128,77,51,156
Ivory Coast,9,3,1,5,13,14,Ð1,10
Jamaica,3,1,0,2,3,9,Ð6,3
Japan,17,4,4,9,14,22,Ð8,16
Kuwait,3,0,1,2,2,6,Ð4,1
Mexico,53,14,14,25,57,92,Ð35,56
Morocco,13,2,4,7,12,18,Ð6,10
Netherlands,50,27,12,11,86,48,38,93
New Zealand,6,0,3,3,4,14,Ð10,3
Nigeria,18,5,3,10,20,26,Ð6,18
Korea DPR,7,1,1,5,6,21,Ð15,4
Northern Ireland,13,3,5,5,13,23,Ð10,14
Norway,8,2,3,3,7,8,Ð1,9
Paraguay,27,7,10,10,30,38,Ð8,31
Peru,15,4,3,8,19,31,Ð12,15
Poland,31,15,5,11,44,40,4,50
Portugal,26,13,4,9,43,29,14,43
Ireland,13,2,8,3,10,10,0,14
Romania,21,8,5,8,30,32,Ð2,29
Russia,40,17,8,15,66,47,19,59
Saudi Arabia,13,2,2,9,9,32,Ð23,8
Scotland,23,4,7,12,25,41,Ð16,19
Senegal,5,2,2,1,7,6,1,8
Serbia,43,17,8,18,64,59,5,59
Slovakia,4,1,1,2,5,7,Ð2,4
Slovenia,6,1,1,4,5,10,Ð5,4
South Africa,9,2,4,3,11,16,Ð5,10
Korea Republic,31,5,9,17,31,67,Ð36,24
Spain,59,29,12,18,92,66,26,99
Sweden,46,16,13,17,74,69,5,61
Switzerland,33,11,6,16,45,59,Ð14,39
Togo,3,0,0,3,1,6,Ð5,0
Trinidad and Tobago,3,0,1,2,0,4,Ð4,1
Tunisia,12,1,4,7,8,17,Ð9,7
Turkey,10,5,1,4,20,17,3,16
Ukraine,5,2,1,2,5,7,Ð2,7
United Arab Emirates,3,0,0,3,2,11,Ð9,0
USA,33,8,6,19,37,62,Ð25,30
Uruguay,51,20,12,19,80,71,9,72
Wales,5,1,3,1,4,4,0,6
