date,home_team,away_team,home_score,away_score,tournament,city,country,Coordinate_home,Coordinate_away,Coordinate_match
11/23/03,Afghanistan,Turkmenistan,0,2,FIFA World Cup qualification,Kabul,Afghanistan,"34.52805556,69.17222222","37.95, 58.3833333","34.52805556,69.17222222"
11/9/96,Albania,Armenia,1,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","40.181111111, 44.51361111","41.3275, 19.8188889"
3/29/15,Albania,Armenia,2,1,UEFA Euro qualification,Elbasan,Albania,"41.3275, 19.8188889","40.181111111, 44.51361111","41.3275, 19.8188889"
11/17/07,Albania,Belarus,2,4,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","54.22777778, 28.505","41.3275, 19.8188889"
3/26/11,Albania,Belarus,1,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","54.22777778, 28.505","41.3275, 19.8188889"
10/8/10,Albania,Bosnia-Herzegovina,1,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","44.20166667, 17.90388889","41.3275, 19.8188889"
9/6/95,Albania,Bulgaria,1,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","42.6975, 23.3322222","41.3275, 19.8188889"
10/17/07,Albania,Bulgaria,1,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","42.6975, 23.3322222","41.3275, 19.8188889"
10/6/16,Kosovo,Croatia,0,6,FIFA World Cup qualification,Shkoder,Albania,"42.6725, 21.1666667","45.81444444, 15.97777778","41.3275, 19.8188889"
9/7/12,Albania,Cyprus,3,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","35.17527778, 33.36416667","41.3275, 19.8188889"
5/1/91,Albania,Czechoslovakia,0,2,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","50.08777778, 14.42055556","41.3275, 19.8188889"
9/8/93,Albania,Denmark,0,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","55.67583333, 12.565277778","41.3275, 19.8188889"
10/9/04,Albania,Denmark,0,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","55.67583333, 12.565277778","41.3275, 19.8188889"
9/9/09,Albania,Denmark,1,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","55.67583333, 12.565277778","41.3275, 19.8188889"
10/11/14,Albania,Denmark,1,1,UEFA Euro qualification,Elbasan,Albania,"41.3275, 19.8188889","55.67583333, 12.565277778","41.3275, 19.8188889"
3/28/01,Albania,England,1,3,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","51.50833333, .12666667","41.3275, 19.8188889"
9/1/01,Albania,Finland,0,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","60.16944444, 24.93527778","41.3275, 19.8188889"
9/5/17,Kosovo,Finland,0,1,FIFA World Cup qualification,Shkoder,Albania,"42.6725, 21.1666667","60.16944444, 24.93527778","41.3275, 19.8188889"
11/17/90,Albania,France,0,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","48.85333333, 2.3486111","41.3275, 19.8188889"
9/2/11,Albania,France,1,2,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","48.85333333, 2.3486111","41.3275, 19.8188889"
12/14/94,Albania,Georgia,0,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","41.69388889, 44.83361111","41.3275, 19.8188889"
10/9/99,Albania,Georgia,2,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","41.69388889, 44.83361111","41.3275, 19.8188889"
9/10/03,Albania,Georgia,3,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","41.69388889, 44.83361111","41.3275, 19.8188889"
6/4/05,Albania,Georgia,3,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","41.69388889, 44.83361111","41.3275, 19.8188889"
11/16/94,Albania,Germany,1,2,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","52.52416667, 13.41027778","41.3275, 19.8188889"
6/6/01,Albania,Germany,0,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","52.52416667, 13.41027778","41.3275, 19.8188889"
11/18/98,Albania,Greece,0,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","37.97944444, 23.71611111","41.3275, 19.8188889"
10/11/00,Albania,Greece,2,0,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","37.97944444, 23.71611111","41.3275, 19.8188889"
9/4/04,Albania,Greece,2,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","37.97944444, 23.71611111","41.3275, 19.8188889"
3/28/09,Albania,Hungary,0,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","47.49777778, 19.03972222","41.3275, 19.8188889"
5/26/91,Albania,Iceland,1,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","64.13527778, -21.89527778","41.3275, 19.8188889"
10/12/12,Albania,Iceland,1,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","64.13527778, -21.89527778","41.3275, 19.8188889"
3/24/17,Kosovo,Iceland,1,2,FIFA World Cup qualification,Shkoder,Albania,"42.6725, 21.1666667","64.13527778, -21.89527778","41.3275, 19.8188889"
5/26/93,Albania,Ireland,1,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","53.33305556, -6.24888889","41.3275, 19.8188889"
4/2/03,Albania,Ireland,0,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","53.33305556, -6.24888889","41.3275, 19.8188889"
11/12/16,Albania,Israel,0,3,FIFA World Cup qualification,Elbasan,Albania,"41.3275, 19.8188889","32.08222222, 34.97722222","41.3275, 19.8188889"
10/9/17,Albania,Italy,0,1,FIFA World Cup qualification,Shkoder,Albania,"41.3275, 19.8188889","41.89166667, 12.5111111","41.3275, 19.8188889"
9/3/05,Albania,Kazakhstan,2,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","51.18, 71.77361111","41.3275, 19.8188889"
11/11/92,Albania,Latvia,1,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","56.94583333, 24.10861111","41.3275, 19.8188889"
9/4/99,Albania,Latvia,3,3,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","56.94583333, 24.10861111","41.3275, 19.8188889"
9/2/17,Albania,Liechtenstein,2,0,FIFA World Cup qualification,Elbasan,Albania,"41.3275, 19.8188889","47.141388889, 9.52138889","41.3275, 19.8188889"
6/3/92,Albania,Lithuania,1,0,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","54.68916667, 25.27972222","41.3275, 19.8188889"
6/2/07,Albania,Luxembourg,2,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","49.60194444, 6.13277778","41.3275, 19.8188889"
9/7/10,Albania,Luxembourg,1,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","49.60194444, 6.13277778","41.3275, 19.8188889"
9/10/08,Albania,Malta,3,0,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","35.89416667, 14.42722222","41.3275, 19.8188889"
3/29/95,Albania,Moldova,3,0,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","47.00555556, 28.8575","41.3275, 19.8188889"
9/12/07,Albania,Netherlands,0,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","52.37388889, 4.889444444","41.3275, 19.8188889"
2/17/93,Albania,Northern Ireland,1,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","54.59666667, -5.92527778","41.3275, 19.8188889"
6/5/99,Albania,Norway,1,2,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","59.9125, 10.74583333","41.3275, 19.8188889"
6/7/13,Albania,Norway,1,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","59.9125, 10.74583333","41.3275, 19.8188889"
10/9/96,Albania,Portugal,0,3,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","38.69083333, -9.31083333","41.3275, 19.8188889"
6/6/09,Albania,Portugal,1,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","38.69083333, -9.31083333","41.3275, 19.8188889"
9/7/15,Albania,Portugal,0,1,UEFA Euro qualification,Elbasan,Albania,"41.3275, 19.8188889","38.69083333, -9.31083333","41.3275, 19.8188889"
9/6/06,Albania,Romania,0,2,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","44.43222222, 26.10611111","41.3275, 19.8188889"
10/11/11,Albania,Romania,1,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","44.43222222, 26.10611111","41.3275, 19.8188889"
3/29/03,Albania,Russia,3,1,UEFA Euro qualification,Shkoder,Albania,"41.3275, 19.8188889","55.75222222, 37.6155556","41.3275, 19.8188889"
10/8/15,Albania,Serbia,0,2,UEFA Euro qualification,Elbasan,Albania,"41.3275, 19.8188889","44.80388889, 20.465","41.3275, 19.8188889"
6/9/99,Albania,Slovenia,0,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","46.05083333, 14.505","41.3275, 19.8188889"
3/24/07,Albania,Slovenia,0,0,UEFA Euro qualification,Shkoder,Albania,"41.3275, 19.8188889","46.05083333, 14.505","41.3275, 19.8188889"
10/16/12,Albania,Slovenia,1,0,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","46.05083333, 14.505","41.3275, 19.8188889"
9/22/93,Albania,Spain,1,5,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","40.41638889, -3.7025","41.3275, 19.8188889"
10/9/16,Albania,Spain,0,2,FIFA World Cup qualification,Shkoder,Albania,"41.3275, 19.8188889","40.41638889, -3.7025","41.3275, 19.8188889"
9/6/08,Albania,Sweden,0,0,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","59.36527778, 18.00722222","41.3275, 19.8188889"
10/12/02,Albania,Switzerland,1,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","47.55833333, 7.57305556","41.3275, 19.8188889"
10/11/13,Albania,Switzerland,1,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","47.55833333, 7.57305556","41.3275, 19.8188889"
10/12/05,Albania,Turkey,0,1,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","41.01361111, 28.94944444","41.3275, 19.8188889"
6/11/17,Kosovo,Turkey,1,4,FIFA World Cup qualification,Shkoder,Albania,"42.6725, 21.1666667","41.01361111, 28.94944444","41.3275, 19.8188889"
2/9/05,Albania,Ukraine,0,2,FIFA World Cup qualification,Tirana,Albania,"41.3275, 19.8188889","50.45444444, 30.52361111","41.3275, 19.8188889"
10/6/17,Kosovo,Ukraine,0,2,FIFA World Cup qualification,Shkoder,Albania,"42.6725, 21.1666667","50.45444444, 30.52361111","41.3275, 19.8188889"
11/15/95,Albania,Wales,1,1,UEFA Euro qualification,Tirana,Albania,"41.3275, 19.8188889","51.48, -3.18","41.3275, 19.8188889"
6/1/01,Algeria,Angola,3,2,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","-12.5, 18.5","36.73222222, 3.08722222"
6/5/04,Algeria,Angola,0,0,FIFA World Cup qualification,Annaba,Algeria,"36.73222222, 3.08722222","-12.5, 18.5","36.73222222, 3.08722222"
7/27/97,Algeria,Benin,2,0,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","6.36527778, 2.4183333","36.73222222, 3.08722222"
3/26/13,Algeria,Benin,3,1,FIFA World Cup qualification,Blida,Algeria,"36.73222222, 3.08722222","6.36527778, 2.4183333","36.73222222, 3.08722222"
9/3/00,Algeria,Burkina Faso,1,1,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","12.36555556, -1.53666667","36.73222222, 3.08722222"
11/19/13,Algeria,Burkina Faso,1,0,FIFA World Cup qualification,Blida,Algeria,"36.73222222, 3.08722222","12.36555556, -1.53666667","36.73222222, 3.08722222"
10/9/92,Algeria,Burundi,3,1,FIFA World Cup qualification,Tlemcen,Algeria,"36.73222222, 3.08722222","-3.38194444, 29.36416667","36.73222222, 3.08722222"
1/12/01,Algeria,Burundi,2,1,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","-3.38194444, 29.36416667","36.73222222, 3.08722222"
10/9/16,Algeria,Cameroon,1,1,FIFA World Cup qualification,Blida,Algeria,"36.73222222, 3.08722222","3.86666667, 11.51666667","36.73222222, 3.08722222"
4/21/00,Algeria,Cape Verde,2,0,FIFA World Cup qualification,Annaba,Algeria,"36.73222222, 3.08722222","14.93138889, -23.5125","36.73222222, 3.08722222"
3/24/07,Algeria,Cape Verde,2,0,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","14.93138889, -23.5125","36.73222222, 3.08722222"
10/9/11,Algeria,Central African Republic,2,0,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","4.36111111, 18.560277778","36.73222222, 3.08722222"
10/11/02,Algeria,Chad,4,1,African Cup of Nations qualification,Annaba,Algeria,"36.73222222, 3.08722222","12.106666667, 15.04416667","36.73222222, 3.08722222"
3/8/90,Algeria,Egypt,2,0,African Cup of Nations,Algiers,Algeria,"36.73222222, 3.08722222","31.20166667, 29.91555556","36.73222222, 3.08722222"
7/21/01,Algeria,Egypt,1,1,FIFA World Cup qualification,Annaba,Algeria,"36.73222222, 3.08722222","31.20166667, 29.91555556","36.73222222, 3.08722222"
3/3/90,Ivory Coast,Egypt,3,1,African Cup of Nations,Algiers,Algeria,"5.30944444, -4.0125","31.20166667, 29.91555556","36.73222222, 3.08722222"
3/5/90,Nigeria,Egypt,1,0,African Cup of Nations,Algiers,Algeria,"9.05777778, 7.495","31.20166667, 29.91555556","36.73222222, 3.08722222"
11/15/14,Algeria,Ethiopia,3,1,African Cup of Nations qualification,Blida,Algeria,"36.73222222, 3.08722222","9.02472222, 38.7466667","36.73222222, 3.08722222"
3/25/16,Algeria,Ethiopia,7,1,African Cup of Nations qualification,Blida,Algeria,"36.73222222, 3.08722222","9.02472222, 38.7466667","36.73222222, 3.08722222"
9/5/04,Algeria,Gabon,0,3,FIFA World Cup qualification,Annaba,Algeria,"36.73222222, 3.08722222",".3922222, 9.45333333","36.73222222, 3.08722222"
10/7/06,Algeria,Gambia,1,0,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","13.47805556, -16.68194444","36.73222222, 3.08722222"
6/20/08,Algeria,Gambia,1,0,FIFA World Cup qualification,Blida,Algeria,"36.73222222, 3.08722222","13.47805556, -16.68194444","36.73222222, 3.08722222"
6/15/12,Algeria,Gambia,4,1,African Cup of Nations qualification,Blida,Algeria,"36.73222222, 3.08722222","13.47805556, -16.68194444","36.73222222, 3.08722222"
2/26/93,Algeria,Ghana,2,1,FIFA World Cup qualification,Tlemcen,Algeria,"36.73222222, 3.08722222","6.68833333, -1.62416667","36.73222222, 3.08722222"
6/16/07,Algeria,Guinea,0,2,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","9.53777778, -13.67722222","36.73222222, 3.08722222"
8/14/92,Algeria,Guinea-Bissau,3,1,African Cup of Nations qualification,Oran,Algeria,"36.73222222, 3.08722222","11.86333333, -15.5975","36.73222222, 3.08722222"
3/5/90,Algeria,Ivory Coast,3,0,African Cup of Nations,Algiers,Algeria,"36.73222222, 3.08722222","5.30944444, -4.0125","36.73222222, 3.08722222"
4/16/93,Algeria,Ivory Coast,1,1,FIFA World Cup qualification,Tlemcen,Algeria,"36.73222222, 3.08722222","5.30944444, -4.0125","36.73222222, 3.08722222"
10/6/96,Algeria,Ivory Coast,4,1,African Cup of Nations qualification,Algiers,Algeria,"36.73222222, 3.08722222","5.30944444, -4.0125","36.73222222, 3.08722222"
3/8/90,Nigeria,Ivory Coast,1,0,African Cup of Nations,Algiers,Algeria,"9.05777778, 7.495","5.30944444, -4.0125","36.73222222, 3.08722222"
6/14/96,Algeria,Kenya,1,0,FIFA World Cup qualification,Algiers,Algeria,"36.73222222, 3.08722222","-1.21722222, 36.8975","36.73222222, 3.08722222"
3/9/90,Cameroon,Kenya,2,0,African Cup of Nations,Annaba,Algeria,"3.86666667, 11.51666667","-1.21722222, 36.8975","36.73222222, 3.08722222"
